Student_ID,Name,Email,Gender,Country,Age,Enrollment_Date,Course_Name,Course_Category,Progress (%),Time_Spent (hrs),Completed,Feedback_Rating,Session_Attendance
46685257-bdd6-40fb-8667-1ad11c80317f,charles garcia,fjohnson@hall.com,Female,us,19,25-12-2024,Python for Data Science,Data Science,94%,90 mins,N,1,"2024-12-25, 2025-01-01, 2025-01-08, 2025-01-15, 2025-01-22"
b38a088c-a65e-4389-b74d-0fb132e70629,connie lawrence,helenpeterson@lewis.com,male,India,42,25-08-2024,Social Media Strategy,Marketing,83%,45,Yes,,25-08-2024
d8f56413-5be6-428e-98c2-67976142ea7d,dennis williams,dudleynicholas@hotmail.com,male,India,,29-08-2022,Startup Strategy,Business,48%,2,No,1,"2022-08-29, 2022-09-05, 2022-09-12, 2022-09-19"
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,LAURA BUSH,kendragalloway@delacruz.com,F,Canada,20,06-07-2023,Data Visualization with R,Data Science,46%,1 hour,No,5,"2023-07-06, 2023-07-13, 2023-07-20, 2023-07-27, 2023-08-03"
29a3b2e9-5d65-4441-9588-42dea2bc372f,DANIEL ADAMS,amandasanchez@gray-mayo.net,Female,UK,0,11-03-2024,Project Management Essentials,Business,26%,90 mins,No,,"2024-03-11, 2024-03-18, 2024-03-25, 2024-04-01, 2024-04-08, 2024-04-15"
c4b032cc-d7c5-44a5-9304-317faf42e12f,CRYSTAL JOHNSON,nadams@hotmail.com,female,us,26,14-03-2023,UI/UX Fundamentals,Design,98%,1 hour,1,6,"2023-03-14, 2023-03-21, 2023-03-28, 2023-04-04"
654821d0-7fcd-4eb1-a7ca-d415366eb16f,MARIA THOMAS,julieryan@richards.com,male,us,,08-08-2023,Startup Strategy,Business,82,120 minutes,N,4,"2023-08-08, 2023-08-15, 2023-08-22, 2023-08-29, 2023-09-05, 2023-09-12, 2023-09-19, 2023-09-26"
c17af08a-1745-46d8-be57-0ddf827050a8,BRIAN BURTON,cruzcaitlin@yahoo.com,Female,us,0,07-11-2022,SEO Fundamentals,Marketing,19,1.5,1,,"2022-11-07, 2022-11-14"
dc5c0eed-8da0-465b-b898-97b9405cacec,melanie wilson,daniel62@yahoo.com,female,USA,,06-07-2024,Finance 101,Business,87,1 hour,Y,5,06-07-2024
b83cfe0b-e037-45ed-b8db-0672f42d47cc,jonathan white,meagan89@hernandez.net,F,UK,29,12-04-2022,Finance 101,Business,80,45,1,3,"2022-04-12, 2022-04-19, 2022-04-26"
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,brian cox dvm,brianhumphrey@gmail.com,F,USA,0,08-07-2024,Data Visualization with R,Data Science,46%,120 minutes,Y,6,"2024-07-08, 2024-07-15, 2024-07-22, 2024-07-29, 2024-08-05, 2024-08-12"
